latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29.0773,70.99638,340.76,0.62,0.71,2026-01-01,0726,N20,VIIRS,n,2.0NRT,288.38,6.77,D
29.77585,70.84251,340.86,0.6,0.71,2026-01-01,0726,N20,VIIRS,n,2.0NRT,288.19,6.11,D
29.07723,70.99454,345.19,0.61,0.71,2026-01-01,0726,N20,VIIRS,n,2.0NRT,288.9,6.94,D
25.13178,68.76967,334.29,0.54,0.51,2026-01-01,0904,N20,VIIRS,n,2.0NRT,294.15,2.88,D
24.35602,68.04147,331.69,0.48,0.48,2026-01-01,0904,N20,VIIRS,n,2.0NRT,297.33,3.14,D
24.35641,68.03991,334.69,0.48,0.48,2026-01-01,0904,N20,VIIRS,n,2.0NRT,298.79,3.38,D
24.9988,68.69579,339.85,0.54,0.51,2026-01-01,0904,N20,VIIRS,n,2.0NRT,297.9,15.75,D
28.63197,70.15123,335.64,0.36,0.58,2026-01-01,0906,N20,VIIRS,n,2.0NRT,292.08,2.16,D
28.72926,71.00134,345.07,0.41,0.61,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.22,4.1,D
28.73464,70.63059,354.62,0.39,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,292.88,5.21,D
28.83085,70.64925,339.83,0.39,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,292.63,5.08,D
28.85928,70.65896,367,0.39,0.6,2026-01-01,0906,N20,VIIRS,h,2.0NRT,295.52,11.63,D
28.85713,70.56181,327.89,0.39,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.59,3.1,D
28.85961,70.65866,367,0.39,0.6,2026-01-01,0906,N20,VIIRS,h,2.0NRT,295.62,11.71,D
28.25816,69.85538,367,0.35,0.56,2026-01-01,0906,N20,VIIRS,h,2.0NRT,292.13,6.04,D
28.85808,70.5613,325.08,0.39,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.46,3.2,D
28.95786,70.71146,350.85,0.4,0.6,2026-01-01,0906,N20,VIIRS,n,2.0NRT,293,4.28,D
28.95803,70.71268,336.8,0.4,0.6,2026-01-01,0906,N20,VIIRS,n,2.0NRT,292.22,3.59,D
29.02248,70.68211,329.52,0.4,0.6,2026-01-01,0906,N20,VIIRS,n,2.0NRT,290.16,2.45,D
29.14307,71.04472,367,0.42,0.61,2026-01-01,0906,N20,VIIRS,h,2.0NRT,295.8,13.72,D
29.15562,70.32724,330.43,0.38,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.74,2.07,D
29.15804,70.32783,340.99,0.38,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.4,2.64,D
29.30672,71.46523,350.67,0.44,0.63,2026-01-01,0906,N20,VIIRS,n,2.0NRT,290.15,5.54,D
29.26135,70.53465,330.34,0.39,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.93,2.6,D
29.26216,70.53638,346.48,0.39,0.59,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.8,4.14,D
29.47436,70.62956,340.32,0.4,0.6,2026-01-01,0906,N20,VIIRS,n,2.0NRT,291.03,4.88,D
